date,home_team,score,away_team
25-05-2025,,1 - 2,Southampton
18-05-2025,,1 - 0,Arsenal
11-05-2025,,2 - 2,Liverpool
03-05-2025,,1 - 2,Arsenal
23-04-2025,,2 - 2,Arsenal
20-04-2025,,0 - 4,Ipswich
12-04-2025,,1 - 1,Arsenal
05-04-2025,,1 - 1,Everton
01-04-2025,,2 - 1,Arsenal
16-03-2025,,1 - 0,Arsenal
09-03-2025,,1 - 1,Man United
26-02-2025,,0 - 0,Nott'm Forest
22-02-2025,,0 - 1,Arsenal
15-02-2025,,0 - 2,Leicester
02-02-2025,,5 - 1,Arsenal
25-01-2025,,0 - 1,Wolves
18-01-2025,,2 - 2,Arsenal
15-01-2025,,2 - 1,Arsenal
04-01-2025,,1 - 1,Brighton
01-01-2025,,1 - 3,Brentford
27-12-2024,,1 - 0,Arsenal
21-12-2024,,1 - 5,Crystal Palace
14-12-2024,,0 - 0,Arsenal
08-12-2024,,1 - 1,Fulham
04-12-2024,,2 - 0,Arsenal
30-11-2024,,2 - 5,West Ham
23-11-2024,,3 - 0,Arsenal
10-11-2024,,1 - 1,Chelsea
02-11-2024,,1 - 0,Newcastle
27-10-2024,,2 - 2,Arsenal
19-10-2024,,2 - 0,Bournemouth
05-10-2024,,3 - 1,Arsenal
28-09-2024,,4 - 2,Arsenal
22-09-2024,,2 - 2,Man City
15-09-2024,,0 - 1,Tottenham
31-08-2024,,1 - 1,Arsenal
24-08-2024,,0 - 2,Aston Villa
17-08-2024,,2 - 0,Arsenal
25-05-2025,,2 - 0,Man United
16-05-2025,,2 - 0,Aston Villa
10-05-2025,,0 - 1,Bournemouth
03-05-2025,,1 - 0,Aston Villa
22-04-2025,,2 - 1,Man City
19-04-2025,,4 - 1,Aston Villa
12-04-2025,,0 - 3,Southampton
05-04-2025,,2 - 1,Aston Villa
02-04-2025,,0 - 3,Brighton
08-03-2025,,0 - 1,Brentford
25-02-2025,,4 - 1,Crystal Palace
22-02-2025,,2 - 1,Aston Villa
19-02-2025,,2 - 2,Aston Villa
15-02-2025,,1 - 1,Aston Villa
01-02-2025,,2 - 0,Wolves
26-01-2025,,1 - 1,Aston Villa
18-01-2025,,2 - 2,Arsenal
15-01-2025,,0 - 1,Everton
04-01-2025,,2 - 1,Aston Villa
30-12-2024,,2 - 2,Aston Villa
26-12-2024,,3 - 0,Newcastle
21-12-2024,,2 - 1,Aston Villa
14-12-2024,,2 - 1,Nott'm Forest
07-12-2024,,1 - 0,Aston Villa
04-12-2024,,3 - 1,Aston Villa
01-12-2024,,3 - 0,Chelsea
23-11-2024,,2 - 2,Aston Villa
09-11-2024,,2 - 0,Liverpool
03-11-2024,,4 - 1,Tottenham
26-10-2024,,1 - 1,Aston Villa
19-10-2024,,1 - 3,Fulham
06-10-2024,,0 - 0,Aston Villa
29-09-2024,,2 - 2,Ipswich
21-09-2024,,3 - 1,Aston Villa
14-09-2024,,3 - 2,Aston Villa
31-08-2024,,1 - 2,Leicester
24-08-2024,,0 - 2,Aston Villa
17-08-2024,,1 - 2,West Ham
25-05-2025,,2 - 0,Bournemouth
20-05-2025,,3 - 1,Man City
10-05-2025,,0 - 1,Bournemouth
03-05-2025,,1 - 2,Arsenal
27-04-2025,,1 - 1,Bournemouth
19-04-2025,,0 - 0,Crystal Palace
14-04-2025,,1 - 0,Bournemouth
05-04-2025,,2 - 2,West Ham
02-04-2025,,1 - 2,Bournemouth
15-03-2025,,1 - 2,Bournemouth
09-03-2025,,2 - 2,Tottenham
25-02-2025,,2 - 1,Brighton
22-02-2025,,0 - 1,Bournemouth
15-02-2025,,1 - 3,Southampton
01-02-2025,,0 - 2,Bournemouth
25-01-2025,,5 - 0,Bournemouth
18-01-2025,,1 - 4,Newcastle
14-01-2025,,2 - 2,Chelsea
04-01-2025,,1 - 0,Bournemouth
29-12-2024,,2 - 2,Fulham
26-12-2024,,0 - 0,Bournemouth
22-12-2024,,0 - 3,Man United
16-12-2024,,1 - 1,Bournemouth
08-12-2024,,1 - 2,Ipswich
05-12-2024,,1 - 0,Bournemouth
30-11-2024,,2 - 4,Wolves
23-11-2024,,1 - 2,Bournemouth
09-11-2024,,3 - 2,Brentford
